"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Profile Actions","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"02-24-2025","Instagram","flyont","13,786","14","18","4","1","13","9,076","4,340","259","2.85%","193","2","51","","13","","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","6","0","2","1","","","","","3","2",""
"02-24-2025","LinkedIn","Ontario International Airport","6,256","6","6","1","1","0","955","146","216","22.62%","42","0","0","174","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"02-24-2025","TikTok","'@flyontairport","3,449","1","","1","1","5","7,547","7,547","180","2.39%","141","7","32","","","","","","","","","","","","","","","","","","0","","","","","","","","1","0","","","","","","","","","","","","","0","","0","","","","","","","","5"
"02-24-2025","YouTube","FlyONT - Ontario International Airport","1,110","2","2","2","1","0","","896","27","","23","0","2","","","0","2","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"02-25-2025","X","'@flyONT","","","","1","1","2","20","2","5","25%","1","1","0","1","","2","0","","0","0","1","0","","","","","","","","","0","","","","","","","","","","","","","2","0","0","0","0","","","","","0","","0","","","","","","","",""
"02-25-2025","Facebook","Ontario International Airport","26,045","7","","6","1","17","42,509","8,993","91","0.21%","35","5","1","6","","44","","0","","","","","1","0","2","0","3","","","","0","","","","","","","","","","","","","","","","","","3","8","1","5","0","","0","","","","","","","",""
"02-25-2025","Instagram","flyont","13,788","2","12","4","1","12","6,137","1,743","210","3.42%","170","14","21","","5","","","","","","","","","","","","","1","0","0","3","0","","","","","","","","","","","","","","","","","","","","","6","0","1","1","","","","","0","2",""
"02-25-2025","LinkedIn","Ontario International Airport","6,269","7","7","1","1","0","727","55","117","16.09%","29","0","1","87","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"02-25-2025","TikTok","'@flyontairport","3,450","1","","0","0","1","7,356","7,356","126","1.71%","82","2","42","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","1"
"02-25-2025","YouTube","FlyONT - Ontario International Airport","1,110","1","1","0","0","0","","2,168","30","","27","0","2","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"02-26-2025","X","'@flyONT","6,357","","","1","1","4","51","3","3","5.88%","1","0","0","0","","2","0","","0","0","1","0","","","","","","","","","0","","","","","","","","","","","","","0","1","0","0","3","","","","","0","","0","","","","","","","",""
"02-26-2025","Facebook","Ontario International Airport","26,052","7","","2","1","5","40,831","8,608","200","0.49%","50","12","2","22","","114","","0","","","","","0","0","1","0","0","","","","0","","","","","","","","","","","","","","","","","","0","5","0","0","0","","0","","","","","","","",""
"02-26-2025","Instagram","flyont","13,795","7","12","7","3","14","8,794","3,621","208","2.37%","189","5","12","","1","","","","","","","","","","","","","0","2","1","0","0","","","","","","","","","","","","","","","","","","","","","4","0","0","1","","","","","4","5",""
"02-26-2025","LinkedIn","Ontario International Airport","6,276","9","9","1","1","0","1,336","358","166","12.43%","64","0","0","102","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"02-26-2025","TikTok","'@flyontairport","3,451","1","","2","1","5","13,693","13,693","214","1.56%","161","8","45","","","","","","","","","","","","","","","","","","0","","","","","","","","1","1","","","","","","","","","","","","","0","","0","","","","","","","","5"
"02-26-2025","YouTube","FlyONT - Ontario International Airport","1,110","1","1","2","1","0","","2,507","76","","73","0","2","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"02-27-2025","X","'@flyONT","6,356","-1","0","2","2","3","29","2","4","13.79%","0","2","0","0","","2","0","","0","0","2","0","","","","","","","","","0","","","","","","","","","","","","","2","0","0","0","1","","","","","0","","0","","","","","","","",""
"02-27-2025","Facebook","Ontario International Airport","26,050","-2","","1","1","2","41,753","8,921","176","0.42%","38","1","14","10","","113","","0","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","1","0","0","0","","0","","","","","","","",""
"02-27-2025","Instagram","flyont","13,795","0","17","9","3","18","7,779","2,359","171","2.2%","128","2","31","","8","","","","","","","","","","","","","1","2","0","0","0","","","","","","","","","","","","","","","","","","","","","3","0","3","1","","","","","6","10",""
"02-27-2025","LinkedIn","Ontario International Airport","6,287","8","8","2","1","2","1,094","275","142","12.98%","56","3","0","83","","","","","","","","","","","","","","","","","0","","","","","1","1","0","","","","","","","","","","","","","","","0","","0","","","","2","0","","",""
"02-27-2025","TikTok","'@flyontairport","3,460","9","","2","0","7","32,624","32,624","323","0.99%","220","15","88","","","","","","","","","","","","","","","","","","0","","","","","","","","0","2","","","","","","","","","","","","","0","","0","","","","","","","","7"
"02-27-2025","YouTube","FlyONT - Ontario International Airport","1,110","-1","0","2","1","0","","1,669","52","","48","0","4","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"02-28-2025","X","'@flyONT","6,358","2","2","1","1","0","35","5","1","2.86%","0","0","0","0","","1","0","","0","0","1","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"02-28-2025","Facebook","Ontario International Airport","26,052","2","","1","1","1","35,963","7,726","59","0.16%","27","2","1","0","","29","","0","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","1","0","","0","","","","","","","",""
"02-28-2025","Instagram","flyont","13,801","6","10","6","1","9","4,084","1,456","151","3.7%","114","3","30","","4","","","","","","","","","","","","","1","0","0","4","0","","","","","","","","","","","","","","","","","","","","","3","0","1","2","","","","","1","2",""
"02-28-2025","LinkedIn","Ontario International Airport","6,291","6","6","2","2","0","2,088","100","276","13.22%","46","0","0","230","","","","","","","","","","","","","","","","","0","","","","","2","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"02-28-2025","TikTok","'@flyontairport","3,480","20","","1","0","41","61,318","61,318","576","0.94%","340","45","191","","","","","","","","","","","","","","","","","","0","","","","","","","","0","1","","","","","","","","","","","","","0","","0","","","","","","","","41"
"02-28-2025","YouTube","FlyONT - Ontario International Airport","1,110","1","1","0","0","0","","938","33","","31","0","1","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-01-2025","X","'@flyONT","6,355","-3","0","0","0","1","20","2","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","1","","","","","0","","0","","","","","","","",""
"03-01-2025","Facebook","Ontario International Airport","26,048","-4","","1","1","1","2,670","181","70","2.62%","25","1","2","3","","39","","0","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","1","0","0","0","","0","","","","","","","",""
"03-01-2025","Instagram","flyont","13,806","5","13","2","2","1","2,933","1,071","98","3.34%","86","4","5","","3","","","","","","","","","","","","","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","0","0",""
"03-01-2025","LinkedIn","Ontario International Airport","6,297","5","5","1","1","0","1,043","30","185","17.74%","31","0","0","154","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"03-01-2025","TikTok","'@flyontairport","3,496","16","","0","0","11","10,127","10,127","135","1.33%","100","11","24","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","11"
"03-01-2025","YouTube","FlyONT - Ontario International Airport","1,120","1","1","0","0","0","","332","6","","3","0","2","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-02-2025","X","'@flyONT","6,353","-2","0","0","0","3","22","1","1","4.55%","1","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","2","0","0","0","1","","","","","0","","0","","","","","","","",""
"03-02-2025","Facebook","Ontario International Airport","26,052","4","","1","1","0","1,330","87","45","3.38%","19","0","2","0","","24","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"03-02-2025","Instagram","flyont","13,811","5","5","0","0","7","1,598","928","70","4.38%","62","0","5","","3","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","2","1","","","","","0","1",""
"03-02-2025","LinkedIn","Ontario International Airport","6,302","5","5","0","0","1","531","16","64","12.05%","20","1","0","43","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"03-02-2025","TikTok","'@flyontairport","3,499","3","","0","0","3","5,323","5,323","132","2.48%","68","7","57","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","3"
"03-02-2025","YouTube","FlyONT - Ontario International Airport","1,120","1","1","0","0","0","","294","3","","2","0","0","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-03-2025","X","'@flyONT","6,349","-4","0","0","0","1","8","2","1","12.5%","0","0","0","0","","1","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","1","0","0","0","","","","","0","","0","","","","","","","",""
"03-03-2025","Facebook","Ontario International Airport","26,052","0","","0","0","2","792","40","18","2.27%","6","0","2","2","","8","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","2","0","","0","","","","","","","",""
"03-03-2025","Instagram","flyont","13,810","-1","13","0","0","11","1,355","845","54","3.99%","39","0","13","","2","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","8","0","","","","","0","2",""
"03-03-2025","LinkedIn","Ontario International Airport","6,306","10","10","3","2","1","1,332","27","141","10.59%","46","2","0","93","","","","","","","","","","","","","","","","","0","","","","","2","1","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"03-03-2025","TikTok","'@flyontairport","3,501","2","","0","0","1","5,805","5,805","120","2.07%","89","3","28","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","1"
"03-03-2025","YouTube","FlyONT - Ontario International Airport","1,120","2","2","0","0","0","","308","5","","1","0","2","","","0","2","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-04-2025","X","'@flyONT","6,351","2","2","0","0","2","21","3","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","2","0","0","0","0","","","","","0","","0","","","","","","","",""
"03-04-2025","Facebook","Ontario International Airport","26,053","1","","1","1","0","3,476","37","102","2.93%","37","2","6","16","","41","","0","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"03-04-2025","Instagram","flyont","13,822","12","12","2","1","7","2,169","996","87","4.01%","81","1","4","","1","","","","","","","","","","","","","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","3","0","","","","","1","2",""
"03-04-2025","LinkedIn","Ontario International Airport","6,321","17","17","1","1","1","3,378","18","341","10.09%","93","2","0","246","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"03-04-2025","TikTok","'@flyontairport","3,500","-1","","1","0","23","30,069","30,069","617","2.05%","490","34","93","","","","","","","","","","","","","","","","","","0","","","","","","","","0","1","","","","","","","","","","","","","0","","0","","","","","","","","23"
"03-04-2025","YouTube","FlyONT - Ontario International Airport","1,120","-1","0","2","1","0","","307","4","","2","0","2","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"03-05-2025","X","'@flyONT","6,352","1","1","0","0","4","4","3","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","3","0","0","0","1","","","","","0","","0","","","","","","","",""
"03-05-2025","Facebook","Ontario International Airport","26,052","-1","","4","1","5","2,262","27","95","4.2%","32","2","3","9","","49","","0","","","","","1","0","1","0","2","","","","0","","","","","","","","","","","","","","","","","","0","3","0","2","0","","0","","","","","","","",""
"03-05-2025","Instagram","flyont","13,827","5","9","7","2","15","3,561","899","167","4.69%","149","4","9","","4","","","","","","","","","","","","","1","1","0","1","0","","","","","","","","","","","","","","","","","","","","","3","0","3","1","","","","","4","3",""
"03-05-2025","LinkedIn","Ontario International Airport","6,330","14","14","1","1","2","1,563","27","168","10.75%","55","2","0","111","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","2","0","","",""
"03-05-2025","TikTok","'@flyontairport","3,510","10","","1","0","47","67,122","67,122","1,618","2.41%","1,310","56","252","","","","","","","","","","","","","","","","","","0","","","","","","","","0","1","","","","","","","","","","","","","0","","0","","","","","","","","47"
"03-05-2025","YouTube","FlyONT - Ontario International Airport","1,120","0","0","0","0","0","","289","4","","2","1","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-06-2025","X","'@flyONT","6,352","0","0","0","0","7","23","3","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","5","1","1","0","0","","","","","0","","0","","","","","","","",""
"03-06-2025","Facebook","Ontario International Airport","26,051","-1","","1","1","3","1,180","70","41","3.47%","14","3","3","1","","20","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","1","0","1","0","","0","","","","","","","",""
"03-06-2025","Instagram","flyont","13,830","3","9","3","1","2","6,106","1,673","121","1.98%","115","0","6","","0","","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","0","0","2","0","","","","","2","0",""
"03-06-2025","LinkedIn","Ontario International Airport","6,348","11","11","1","1","1","1,144","72","84","7.34%","33","1","0","50","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"03-06-2025","TikTok","'@flyontairport","3,533","23","","1","1","21","60,013","60,013","1,295","2.16%","1,032","33","230","","","","","","","","","","","","","","","","","","0","","","","","","","","1","0","","","","","","","","","","","","","0","","0","","","","","","","","21"
"03-06-2025","YouTube","FlyONT - Ontario International Airport","1,120","0","0","2","1","0","","446","11","","9","0","2","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"03-07-2025","X","'@flyONT","6,348","-4","0","0","0","0","7","2","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"03-07-2025","Facebook","Ontario International Airport","26,053","2","","0","0","1","665","59","15","2.26%","9","1","0","0","","5","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","0","0","0","0","","0","","","","","","","",""
"03-07-2025","Instagram","flyont","13,832","2","12","6","1","18","4,773","6,306","215","4.5%","189","4","17","","5","","","","","","","","","","","","","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","","7","0","3","1","","","","","4","0",""
"03-07-2025","LinkedIn","Ontario International Airport","6,357","9","9","1","1","2","1,033","210","93","9%","36","2","0","55","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","2","0","","",""
"03-07-2025","TikTok","'@flyontairport","3,544","11","","1","1","17","32,966","32,966","702","2.13%","536","23","143","","","","","","","","","","","","","","","","","","0","","","","","","","","1","0","","","","","","","","","","","","","0","","0","","","","","","","","17"
"03-07-2025","YouTube","FlyONT - Ontario International Airport","1,120","0","0","0","0","0","","633","17","","16","0","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-08-2025","X","'@flyONT","6,348","0","0","0","0","8","36","7","2","5.56%","0","0","0","0","","2","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","7","0","0","0","1","","","","","0","","0","","","","","","","",""
"03-08-2025","Facebook","Ontario International Airport","26,057","4","","3","1","5","1,525","434","65","4.26%","31","6","2","1","","25","","0","","","","","1","0","2","0","0","","","","0","","","","","","","","","","","","","","","","","","0","5","0","0","0","","0","","","","","","","",""
"03-08-2025","Instagram","flyont","13,840","8","12","6","1","12","10,499","9,248","341","3.25%","284","12","31","","14","","","","","","","","","","","","","0","0","1","3","0","","","","","","","","","","","","","","","","","","","","","10","0","0","1","","","","","2","0",""
"03-08-2025","LinkedIn","Ontario International Airport","6,362","3","3","1","1","0","966","281","101","10.46%","34","0","0","67","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"03-08-2025","TikTok","'@flyontairport","3,565","21","","1","1","8","41,404","41,404","727","1.76%","571","15","141","","","","","","","","","","","","","","","","","","0","","","","","","","","1","0","","","","","","","","","","","","","0","","0","","","","","","","","8"
"03-08-2025","YouTube","FlyONT - Ontario International Airport","1,120","1","1","2","1","0","","973","23","","20","0","2","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"03-09-2025","X","'@flyONT","6,349","1","1","0","0","7","12","1","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","4","1","0","0","2","","","","","0","","0","","","","","","","",""
"03-09-2025","Facebook","Ontario International Airport","26,063","6","","0","0","1","889","290","20","2.25%","9","0","0","2","","9","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","1","0","0","0","","0","","","","","","","",""
"03-09-2025","Instagram","flyont","13,844","4","4","5","0","3","3,972","7,111","107","2.69%","86","10","8","","3","","","","","","","","","","","","","0","0","0","5","0","","","","","","","","","","","","","","","","","","","","","2","0","0","0","","","","","0","1",""
"03-09-2025","LinkedIn","Ontario International Airport","6,360","5","5","1","0","1","776","241","63","8.12%","27","2","0","34","","","","","","","","","","","","","","","","","0","","","","","0","1","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"03-09-2025","TikTok","'@flyontairport","3,587","22","","0","0","13","57,424","57,424","969","1.69%","792","15","162","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","13"
"03-09-2025","YouTube","FlyONT - Ontario International Airport","1,120","0","0","0","0","0","","431","1","","0","0","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-10-2025","X","'@flyONT","","","","1","1","2","31","3","0","0%","0","0","0","0","","0","0","","0","0","1","0","","","","","","","","","0","","","","","","","","","","","","","0","2","0","0","0","","","","","0","","0","","","","","","","",""
"03-10-2025","Facebook","Ontario International Airport","26,067","4","","1","1","0","1,878","128","61","3.25%","18","0","0","1","","42","","0","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"03-10-2025","Instagram","flyont","13,846","2","6","9","1","14","3,555","2,591","152","4.28%","134","8","6","","4","","","","","","","","","","","","","1","0","0","3","0","","","","","","","","","","","","","","","","","","","","","5","0","0","0","","","","","5","7",""
"03-10-2025","LinkedIn","Ontario International Airport","6,366","4","4","2","1","1","1,333","242","230","17.25%","40","1","0","189","","","","","","","","","","","","","","","","","0","","","","","1","1","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"03-10-2025","TikTok","'@flyontairport","3,601","14","","1","0","8","29,336","29,336","602","2.05%","480","11","111","","","","","","","","","","","","","","","","","","0","","","","","","","","0","1","","","","","","","","","","","","","0","","0","","","","","","","","8"
"03-10-2025","YouTube","FlyONT - Ontario International Airport","1,120","1","1","0","0","0","","295","12","","7","0","4","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-11-2025","X","'@flyONT","6,351","","","0","0","1","27","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","1","0","0","0","","","","","0","","0","","","","","","","",""
"03-11-2025","Facebook","Ontario International Airport","26,065","-2","","2","1","4","1,732","350","69","3.98%","23","0","2","1","","43","","0","","","","","0","0","1","0","0","","","","0","","","","","","","","","","","","","","","","","","0","4","0","0","0","","0","","","","","","","",""
"03-11-2025","Instagram","flyont","13,836","-10","5","8","1","8","3,943","3,017","159","4.03%","136","4","16","","3","","","","","","","","","","","","","0","0","1","4","0","","","","","","","","","","","","","","","","","","","","","5","0","1","0","","","","","3","1",""
"03-11-2025","LinkedIn","Ontario International Airport","6,368","1","1","1","1","0","1,182","287","166","14.04%","35","0","0","131","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"03-11-2025","TikTok","'@flyontairport","3,607","6","","2","1","4","16,839","16,839","552","3.28%","470","7","75","","","","","","","","","","","","","","","","","","0","","","","","","","","1","1","","","","","","","","","","","","","0","","0","","","","","","","","4"
"03-11-2025","YouTube","FlyONT - Ontario International Airport","1,120","-1","0","2","1","0","","494","9","","7","0","2","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"03-12-2025","X","'@flyONT","6,346","-5","0","0","0","7","3","1","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","2","5","0","0","0","","","","","0","","0","","","","","","","",""
"03-12-2025","Facebook","Ontario International Airport","26,066","1","","16","1","12","7,912","912","103","1.3%","35","4","2","1","","61","","0","","","","","1","14","1","0","0","","","","0","","","","","","","","","","","","","","","","","","1","9","0","2","0","","0","","","","","","","",""
"03-12-2025","Instagram","flyont","13,833","-3","14","3","1","5","4,090","2,813","134","3.28%","109","6","13","","6","","","","","","","","","","","","","1","0","0","2","0","","","","","","","","","","","","","","","","","","","","","2","0","0","1","","","","","0","0",""
"03-12-2025","LinkedIn","Ontario International Airport","6,372","8","8","1","1","0","1,486","281","289","19.45%","42","0","0","247","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"03-12-2025","TikTok","'@flyontairport","3,611","4","","0","0","7","24,459","24,459","903","3.69%","735","17","151","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","7"
"03-12-2025","YouTube","FlyONT - Ontario International Airport","1,120","0","0","2","1","0","","557","8","","5","0","3","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"03-13-2025","X","'@flyONT","6,347","1","1","0","0","15","22","2","2","9.09%","0","1","0","0","","1","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","15","0","0","0","0","","","","","0","","0","","","","","","","",""
"03-13-2025","Facebook","Ontario International Airport","26,066","0","","4","1","7","46,961","7,324","203","0.43%","54","3","3","0","","143","","0","","","","","0","0","2","1","0","","","","0","","","","","","","","","","","","","","","","","","1","2","4","0","0","","0","","","","","","","",""
"03-13-2025","Instagram","flyont","13,840","7","12","9","1","14","8,082","3,189","169","2.09%","139","16","10","","4","","","","","","","","","","","","","0","0","1","7","0","","","","","","","","","","","","","","","","","","","","","10","0","0","0","","","","","1","2",""
"03-13-2025","LinkedIn","Ontario International Airport","6,379","6","6","0","0","0","369","111","147","39.84%","26","0","0","121","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"03-13-2025","TikTok","'@flyontairport","3,618","7","","1","1","8","26,066","26,066","895","3.43%","773","10","112","","","","","","","","","","","","","","","","","","0","","","","","","","","1","0","","","","","","","","","","","","","0","","0","","","","","","","","8"
"03-13-2025","YouTube","FlyONT - Ontario International Airport","1,120","1","1","2","1","0","","506","15","","10","1","3","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"03-14-2025","X","'@flyONT","6,345","-2","0","0","0","6","12","1","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","5","0","0","0","1","","","","","0","","0","","","","","","","",""
"03-14-2025","Facebook","Ontario International Airport","26,072","6","","1","1","2","51,287","7,048","72","0.14%","33","1","4","1","","33","","0","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","0","1","0","0","","0","","","","","","","",""
"03-14-2025","Instagram","flyont","13,845","5","5","4","1","10","5,680","2,493","109","1.92%","87","7","13","","2","","","","","","","","","","","","","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","","3","0","1","0","","","","","2","5",""
"03-14-2025","LinkedIn","Ontario International Airport","6,385","5","5","2","2","0","1,331","70","106","7.96%","23","0","0","83","","","","","","","","","","","","","","","","","0","","","","","2","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"03-14-2025","TikTok","'@flyontairport","3,625","7","","0","0","2","20,019","20,019","652","3.26%","571","6","75","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","2"
"03-14-2025","YouTube","FlyONT - Ontario International Airport","1,120","0","0","0","0","0","","494","13","","12","0","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"03-15-2025","X","'@flyONT","6,345","0","0","0","0","4","3","2","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","4","0","0","0","0","","","","","0","","0","","","","","","","",""
"03-15-2025","Facebook","Ontario International Airport","26,075","3","","3","1","11","54,749","7,511","38","0.07%","8","0","0","5","","25","","0","","","","","1","0","0","2","0","","","","0","","","","","","","","","","","","","","","","","","3","0","8","0","0","","0","","","","","","","",""
"03-15-2025","Instagram","flyont","13,846","1","5","1","1","4","5,027","1,290","61","1.21%","57","1","2","","1","","","","","","","","","","","","","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","2",""
