"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Profile Actions","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-04-2025","LinkedIn","Ontario International Airport","5,949","3","3","1","1","1","775","306","64","8.26%","25","0","1","38","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-04-2025","TikTok","'@flyontairport","3,390","2","","2","1","0","2,478","2,478","65","2.62%","59","0","6","","","","","","","","","","","","","","","","","","0","","","","","","","","1","1","","","","","","","","","","","","","0","","0","","","","","","","","0"
"01-04-2025","YouTube","FlyONT - Ontario International Airport","1,090","1","1","2","1","0","","2,412","55","","48","2","4","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"01-05-2025","X","'@flyONT","6,369","1","1","0","0","6","5","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","3","1","0","1","1","","","","","0","","0","","","","","","","",""
"01-05-2025","Facebook","Ontario International Airport","25,942","6","","0","0","2","24,735","249","22","0.09%","17","0","1","0","","4","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","2","0","0","","0","","","","","","","",""
"01-05-2025","Instagram","flyont","13,302","17","21","1","0","7","19,847","9,380","370","1.86%","329","3","27","","11","","","","","","","","","","","","","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","5","0","0","1","","","","","0","0",""
"01-05-2025","LinkedIn","Ontario International Airport","5,950","1","1","0","0","2","489","170","76","15.54%","16","1","1","58","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"01-05-2025","TikTok","'@flyontairport","3,392","2","","0","0","0","2,087","2,087","20","0.96%","20","0","0","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"01-05-2025","YouTube","FlyONT - Ontario International Airport","1,090","2","3","0","0","0","","790","18","","12","0","5","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-06-2025","X","'@flyONT","6,366","-3","0","1","0","13","20","0","0","0%","0","0","0","0","","0","0","","0","0","0","1","","","","","","","","","0","","","","","","","","","","","","","10","2","0","0","1","","","","","0","","0","","","","","","","",""
"01-06-2025","Facebook","Ontario International Airport","25,940","-2","","1","0","4","22,045","185","9","0.04%","7","0","0","0","","2","","0","","","","","0","0","0","0","1","","","","0","","","","","","","","","","","","","","","","","","1","0","0","3","0","","0","","","","","","","",""
"01-06-2025","Instagram","flyont","13,304","2","19","1","0","4","17,529","8,639","345","1.97%","307","6","22","","10","","","","","","","","","","","","","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","0","0","1","1","","","","","0","2",""
"01-06-2025","LinkedIn","Ontario International Airport","5,950","4","4","0","0","0","773","269","58","7.5%","19","0","1","38","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-06-2025","TikTok","'@flyontairport","3,395","3","","0","0","1","1,892","1,892","28","1.48%","25","1","2","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","1"
"01-06-2025","YouTube","FlyONT - Ontario International Airport","1,090","0","0","0","0","0","","389","8","","4","0","4","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-07-2025","X","'@flyONT","","","","0","0","6","46","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","3","2","0","0","1","","","","","0","","0","","","","","","","",""
"01-07-2025","Facebook","Ontario International Airport","25,943","3","","0","0","0","21,129","146","8","0.04%","6","0","0","0","","2","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-07-2025","Instagram","flyont","13,311","7","13","0","0","4","16,878","8,365","319","1.89%","290","0","20","","9","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","1","","","","","0","3",""
"01-07-2025","LinkedIn","Ontario International Airport","5,956","3","3","0","0","1","407","168","59","14.5%","4","1","1","53","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"01-07-2025","TikTok","'@flyontairport","3,397","2","","0","0","2","2,439","2,439","26","1.07%","23","2","1","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","2"
"01-07-2025","YouTube","FlyONT - Ontario International Airport","1,090","-2","0","0","0","0","","241","4","","3","0","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-08-2025","X","'@flyONT","6,372","","","1","0","15","240","1","1","0.42%","0","0","0","0","","1","0","","0","0","0","1","","","","","","","","","0","","","","","","","","","","","","","1","4","0","0","10","","","","","0","","0","","","","","","","",""
"01-08-2025","Facebook","Ontario International Airport","25,950","7","","0","0","3","23,415","215","1","0%","1","0","0","0","","0","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","1","2","0","0","","0","","","","","","","",""
"01-08-2025","Instagram","flyont","13,321","10","17","5","0","12","19,577","8,214","322","1.64%","289","4","20","","9","","","","","","","","","","","","","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","2","0","1","2","","","","","3","5",""
"01-08-2025","LinkedIn","Ontario International Airport","5,959","3","3","0","0","0","973","110","124","12.74%","12","0","0","112","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-08-2025","TikTok","'@flyontairport","3,397","0","","0","0","1","2,539","2,539","36","1.42%","33","2","1","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","1"
"01-08-2025","YouTube","FlyONT - Ontario International Airport","1,090","2","2","0","0","0","","248","6","","3","0","1","","","0","2","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-09-2025","X","'@flyONT","6,376","4","4","2","2","15","162","2","1","0.62%","0","0","0","0","","1","0","","0","0","2","0","","","","","","","","","0","","","","","","","","","","","","","11","1","0","0","3","","","","","0","","0","","","","","","","",""
