"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Follower Views","Non-follower Views","Reach","Organic Reach","Viral Reach","Non-viral Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagement Rate (per Reach)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Post Shares","Reposts","Quotes","Saves","Click-Through Rate","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Post Media Clicks","Post Hashtag Clicks","Post Detail Expand Clicks","Profile Clicks","Other Engagements","Answers","App Engagements","App Install Attempts","App Opens","Follows from Post","Unfollows from Post","bit.ly Link Clicks","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Media Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Organic Full Video Views","Paid Full Video Views","Autoplay Video Views","Click to Play Video Views","Sound on Video Views","Sound off Video Views","Autoplay Partial Video Views","Click to Play Partial Video Views","Autoplay Full Video Views","Click to Play Full Video Views","95% Video Views","Organic 95% Video Views","Paid 95% Video Views","Video Length (Seconds)","Average Video Time Watched (Seconds)","Video View Time (Seconds)","Organic Video View Time (Seconds)","Paid Video View Time (Seconds)","Unique Video Views","Average Unique Video Views per Post","Unique Organic Video Views","Unique Paid Video Views","Unique Full Video Views","Unique Organic 95% Video Views","Unique Paid 95% Video Views","Video Ad Break Ad Impressions","Video Ad Break Ad Earnings","Video Ad Break Ad Cost per Impression (CPM)","YouTube Premium Views","Estimated Minutes Watched","Estimated Premium Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Annotation Impressions","Annotation Clickable Impressions","Annotation Closable Impressions","Annotation Closes","Card Impressions","Card Teaser Impressions","Card Teaser Clicks","Poll Votes","Tags"
"11/21/2025 11:07 am","F2RhTeaRUAs","YouTube","Post","Video","FlyONT - Ontario International Airport","Sabine West","https://www.youtube.com/watch?v=F2RhTeaRUAs","This month we kicked off our Decade of Local Control campaign... ✈️🩷

HUGE thanks to all of the people who helped us gain local control of ONT almost 10 years ago!!!

We'll be thanking our supporters all year long. Click the Decade of Local Control link in our bio for a look at upcoming events and other ways to join the celebration! #ONT10",,"","","","","","","","","","","","","","25","24","24","0","","","","","","0","1","1","","","","","","","0","","","","","","0","","","","","","","","0","0","0","2,163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293","130","20","","","","","0","0","0","0","0","0","0","0","0","0","","DLC November"
"11/21/2025 11:07 am","7575257102503955726","TikTok","Post","Video","'@flyontairport","Sabine West","https://www.tiktok.com/@flyontairport/video/7575257102503955726?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","This month we kicked off our Decade of Local Control campaign... ✈️🩷 HUGE thanks to all of the people who helped us gain local control of ONT almost 10 years ago!!! We'll be thanking our supporters all year long. Click the Decade of Local Control link in our bio for a look at upcoming events and other ways to join the celebration! #ONT10",,"494","","","","","434","","","","","","2.83%","3.23%","14","13","13","","","","","","","0","1","1","","","","","","","","","","","","","","","","","","","","","","","","494","","","","","","","","0.09","10","292","","163","8","18","0","3","","","","","","","","","","","","","","18.87","4.28","2,166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November"
"11/15/2025 11:01 am","170932926338208_1256028436570582","Facebook","Post","Photo","Ontario International Airport","Sabine West","https://www.facebook.com/487606230079477/posts/1256028436570582","We 💜 our tenant partners!!!

These are just a few of the faces that keep ONT running every day, showing up with excellence, care and commitment to our travelers and community. We celebrated with an IN-N-OUT truck, new swag, trivia and more, as we kicked off our Decade of Local Control year-long celebration!

Partners, we’re so grateful for everything you do to keep ONT soaring. ✈️","https://www.facebook.com/487606230079477/posts/1256028436570582","6,016","6,016","0","3,398","2,618","3,852","3,852","92","3,770","0","","9.56%","14.93%","575","61","52","","9","0","0","0","0","3","2","2","","","","0%","","","509","509","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November"
"11/15/2025 11:01 am","7395536354606014464","LinkedIn","Post","Photo","Ontario International Airport","Sabine West","https://linkedin.com/feed/update/urn:li:ugcPost:7395536354606014464","We 💜 our tenant partners!!!

These are just a few of the faces that keep ONT running every day, showing up with excellence, care and commitment to our travelers and community. We celebrated with an IN-N-OUT truck, new swag, trivia and more, as we kicked off our Decade of Local Control year-long celebration!

Partners, we’re so grateful for everything you do to keep ONT soaring. ✈️",,"1,536","1,536","","","","","","","","","","30.73%","","472","61","61","","","","","","","2","1","1","","","","26.56%","408","","","408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November"
"11/12/2025 11:50 am","7394461503116013568","LinkedIn","Post","Photo","Ontario International Airport","Sabine West","https://linkedin.com/feed/update/urn:li:share:7394461503116013568","Ready to give back? Join us for a blood drive at ONT! ❤️

We are kicking off volunteer efforts as part of our Decade of Local Control celebration in partnership with American Red Cross. 

📅 Monday, November 24
🕘 9 a.m. – 3 p.m.
📍 1923 Club at the OIAA Admin Office

This event is part of the Big Ten Conference | Abbott donation drive, a nationwide effort to support lifesaving blood, platelet and plasma donations. Log and submit your donation to help your favorite Big Ten school win $1 million for student or community health.

🔗 Sign up: https://lnkd.in/g2hzzNhc",,"696","696","","","","","","","","","","5.03%","","35","19","19","","","","","","","1","1","1","","","","2.01%","14","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/12/2025 11:50 am","170932926338208_1253638686809557","Facebook","Post","Photo","Ontario International Airport","Sabine West","https://www.facebook.com/487606230079477/posts/1253638686809557","Ready to give back? Join us for a blood drive at ONT! ❤️

We are kicking off volunteer efforts as part of our Decade of Local Control celebration in partnership with American Red Cross Blood Donors. 

📅 Monday, November 24
🕘 9 a.m. – 3 p.m.
📍 1923 Club at the OIAA Admin Office

This event is part of the Big Ten Conference | Abbott donation drive, a nationwide effort to support lifesaving blood, platelet and plasma donations. Log and submit your donation to help your favorite Big Ten school win $1 million for student or community health.

🔗 Sign up: https://flyont.news/blooddrive","https://www.facebook.com/photo.php?fbid=1253638670142892&set=a.487427546764012&type=3","2,842","2,842","0","1,558","1,284","1,882","1,882","92","1,799","0","","3.06%","4.62%","87","37","33","","4","0","0","0","0","2","4","4","","","","0.29%","4","","40","44","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/12/2025 11:36 am","18087610589504242","Instagram","Post","Photo","flyont","Sabine West","https://www.instagram.com/p/DQ9-acDEndV/","Ready to give back? Join us for a blood drive at ONT! ❤️

We are kicking off volunteer efforts as part of our Decade of Local Control celebration in partnership with @americanredcross

📅 Monday, November 24
🕘 9 a.m. – 3 p.m.
📍 1923 Club at the OIAA Admin Office

This event is part of the @bigten | @abbottglobal donation drive, a nationwide effort to support lifesaving blood, platelet and plasma donations. Log and submit your donation to help your favorite Big Ten school win $1 million for student or community health.

🔗 Link in bio to sign up.",,"12,234","12,234","","","","6,603","6,603","","","","","0.65%","1.23%","79","68","68","","","","","","","2","10","8","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/3/2025 8:42 am","18066117800604887","Instagram","Post","Photo","flyont","Sabine West","https://www.instagram.com/p/DQmfWPyDH_o/","We're kicking off a year-long celebration of a Decade of Local Control! 🎉✈️💜

From reclaiming our airport to becoming one of the fastest-growing in the nation, we have so many reasons to celebrate 10 years of ONT being homegrown and thriving.
#ONT10 

🔗Read more at the link in our bio!",,"10,051","10,051","","","","2,656","2,656","","","","","3.2%","12.27%","322","291","291","","","","","","","17","13","9","4","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November"
"11/3/2025 8:35 am","7391150939589496833","LinkedIn","Post","Photo","Ontario International Airport","Sabine West","https://linkedin.com/feed/update/urn:li:share:7391150939589496833","We're kicking off a year-long celebration of a Decade of Local Control! 🎉✈️💜

“Ontario International Airport was in a downward spiral a decade ago, and local leaders took bold steps to bring it back home,"" said Alan D. Wapner, OIAA President. ""Today, ONT is thriving, a vital economic engine for the Inland Empire and a source of pride for our entire region.""

Join us all year as we celebrate this milestone with community pop-ups, giveaways and surprises across the region.

🔗Read More: https://flyont.news/10yrs",,"4,120","4,120","","","","","","","","","","5.73%","","236","195","195","","","","","","","10","8","8","","","","0.56%","23","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November"
"11/3/2025 8:35 am","170932926338208_1245611414278951","Facebook","Post","Photo","Ontario International Airport","Sabine West","https://www.facebook.com/487606230079477/posts/1245611414278951","We're kicking off a year-long celebration of a Decade of Local Control! 🎉✈️💜

“Ontario International Airport was in a downward spiral a decade ago, and local leaders took bold steps to bring it back home,"" said Alan D. Wapner, OIAA President. ""Today, ONT is thriving, a vital economic engine for the Inland Empire and a source of pride for our entire region.""

Join us all year as we celebrate this milestone with community pop-ups, giveaways and surprises across the region.

🔗Read More: https://flyont.news/10yrs","https://www.facebook.com/photo.php?fbid=1245611397612286&set=a.487427546764012&type=3","15,019","15,019","0","3,387","11,632","10,243","10,243","29","10,221","0","","3.86%","5.65%","579","242","204","","37","0","1","0","0","5","6","6","","","","0.59%","63","","263","326","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November"
"11/1/2025 11:23 am","v8uAyXHQ7WY","YouTube","Post","Video","FlyONT - Ontario International Airport"," ","https://www.youtube.com/watch?v=v8uAyXHQ7WY","With your support, we reclaimed Ontario International Airport, revived this vital gateway and ensured your airport is ready to boldly soar even higher in the years to come. Learn the story and find out how you can join the year-long celebration of ONT’s first decade of local control!",,"","","","","","","","","","","","","","30","8","8","0","","","","","","2","20","20","","","","","","","0","","","","","","0","","","","","","","","0","0","0","704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","748","63","","","","","2","0","2","0","0","0","0","0","0","0","","DLC November, ONT is Your Airport"
"11/1/2025 11:03 am","170932926338208_1243832691123490","Facebook","Reel","Video","Ontario International Airport","Sabine West","https://www.facebook.com/reel/840713841787324/","Reclaimed 💪 Revived ✨ Ready ✈️

Nine years ago today, we reclaimed Ontario International Airport, revived this vital gateway and ensured your airport is ready to boldly soar even higher in the years to come. So we're kicking off a year-long celebration, leading up to our 10th anniversary of local control on November 1, 2026.

Since none of this would be possible without you, our community members and passengers who have supported ONT over the years, we have big plans to say thank you over the next 12 months through pop-up events in our terminals and across So Cal, fun giveaways, a big unveiling and so much more. Click the link below to learn about our story and stay updated on all we've got planned, as we begin Celebrating a Decade of Local Control! #ONT10

🔗Learn More: https://ontmktg.info/10yr","https://www.facebook.com/reel/840713841787324/","3,766","3,652","0","1,937","1,707","2,904","","","","","","4.25%","5.51%","160","127","101","","26","0","0","0","0","21","12","12","","","","","","","","0","","","","","","","","","","","","","","","","1,223","","1,223","0","948","948","0","275","","","","","","","","","","275","0","1,207","16","493","","943","","264","11","69","69","0","","11.95","37,520.38","37,520.38","","1,068","1,068","1,068","0","248","63","0","","","","","","","","","","","","","","","","","","","","","","DLC November, ONT is Your Airport"
"11/1/2025 11:02 am","7390448198521319424","LinkedIn","Post","Video","Ontario International Airport","Sabine West","https://linkedin.com/feed/update/urn:li:ugcPost:7390448198521319424","Reclaimed 💪 Revived ✨ Ready ✈️

Nine years ago today, we reclaimed Ontario International Airport, revived this vital gateway and ensured your airport is ready to boldly soar even higher in the years to come. So we're kicking off a year-long celebration, leading up to our 10th anniversary of local control on November 1, 2026.

Since none of this would be possible without you, our community members and passengers who have supported ONT over the years, we have big plans to say thank you over the next 12 months through pop-up events in our terminals and across So Cal, fun giveaways, a big unveiling and so much more. Click the link below to learn about our story and stay updated on all we've got planned, as we begin Celebrating a Decade of Local Control! #ONT10

🔗Learn More: https://ontmktg.info/10yr",,"2,431","2,431","","","","","","","","","","5.84%","","142","105","105","","","","","","","3","11","11","","","","0.95%","23","","","23","","","","","","","","","","","","","","","","1,200","","1,200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November, ONT is Your Airport"
"11/1/2025 11:02 am","18057700997638791","Instagram","Reel","Video","flyont","Sabine West","https://www.instagram.com/reel/DQhe0NEFbpw/","Reclaimed 💪 Revived ✨ Ready ✈️

Nine years ago today, we reclaimed Ontario International Airport, revived this vital gateway and ensured your airport is ready to boldly soar even higher in the years to come. So we're kicking off a year-long celebration, leading up to our 10th anniversary of local control on November 1, 2026.

Since none of this would be possible without you, our community members and passengers who have supported ONT over the years, we have big plans to say thank you over the next 12 months through pop-up events in our terminals and across So Cal, fun giveaways, a big unveiling and so much more. Click the link below to learn about our story and stay updated on all we've got planned, as we begin Celebrating a Decade of Local Control! #ONT10

🔗10 Yr - Link in bio",,"9,910","9,910","","","","4,816","4,816","","","","","4.39%","9.28%","435","327","327","","","","","","","50","51","39","12","","19","","","","","","","","","","","","","","","","","","","","","9,910","","9,910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November, ONT is Your Airport"
"2/13/2025 4:16 pm","18074959378675053","Instagram","Post","Photo","flyont","Sabine West","https://www.instagram.com/p/DGCGPOntmgI/","Want to relax on the beach in Los Cabos? Visit family in Morelia? Or soak in the culture of León? All three destinations are now just one quick flight away from ONT, with @flyvolaris announcing plans to start nonstop service to these three Mexican cities this summer!

For more than a decade, Volaris has offered nonstop flights between ONT and Guadalajara (GDL). Starting in early July, the airline will add daily nonstop service to Los Cabos International Airport (SJD), flights three times a week to León/Bajío International Airport (BJX) in Guanajuato and flights four times a week to Morelia International Airport (MLM) in Michoacan.

This news marks the biggest one-day jump in international service ONT has ever seen! 

Click the link in our bio to learn more about these new routes, including flight schedules. Then start planning those Mexican getaways today! 🇲🇽☀️🌊",,"32,632","32,632","","","","25,547","25,547","","","","","5.29%","6.76%","1,727","877","877","","","","","","","48","713","713","0","","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/13/2025 4:16 pm","7295958933955911680","LinkedIn","Post","Photo","Ontario International Airport","Sabine West","https://linkedin.com/feed/update/urn:li:share:7295958933955911680","Want to relax on the beach in Los Cabos? Visit family in Morelia? Or soak in the culture of León? All three destinations are now just one quick flight away from ONT, with Volaris announcing plans to start nonstop service to these three Mexican cities this summer!

For more than a decade, Volaris has offered nonstop flights between ONT and Guadalajara (GDL). Starting in early July, the airline will add daily nonstop service to Los Cabos International Airport (SJD), flights three times a week to León/Bajío International Airport (BJX) in Guanajuato and flights four times a week to Morelia International Airport (MLM) in Michoacan.

This news marks the biggest one-day jump in international service ONT has ever seen! 

“We are thrilled to drive Ontario’s largest international expansion ever and look forward to improving access to affordable air travel across the LA basin,” said Holger Blankenstein, Executive Vice President of Volaris.

Click the link below to learn more about these new routes, including flight schedules. Then start planning those Mexican getaways today! 
https://lnkd.in/gaVh5cqP
",,"3,618","3,618","","","","","","","","","","7.57%","","274","132","132","","","","","","","1","12","12","","","","3.57%","129","","","129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/13/2025 4:16 pm","170932926338208_1032639225576172","Facebook","Post","Photo","Ontario International Airport","Sabine West","https://www.facebook.com/487606230079477/posts/1032639225576172","Want to relax on the beach in Los Cabos? Visit family in Morelia? Or soak in the culture of León? All three destinations are now just one quick flight away from ONT, with Volaris  announcing plans to start nonstop service to these three Mexican cities this summer!

For more than a decade, Volaris has offered nonstop flights between ONT and Guadalajara (GDL). Starting in early July, the airline will add daily nonstop service to Los Cabos International Airport (SJD), flights three times a week to León/Bajío International Airport (BJX) in Guanajuato and flights four times a week to Morelia International Airport (MLM) in Michoacan.

This news marks the biggest one-day jump in international service ONT has ever seen! 

“We are thrilled to drive Ontario’s largest international expansion ever and look forward to improving access to affordable air travel across the LA basin,” said Holger Blankenstein, Executive Vice President of Volaris.

Click the link below to learn more about these new routes, including flight schedules. Then start planning those Mexican getaways today! 
https://flyont.news/VolarisNewRoutes","https://www.facebook.com/photo.php?fbid=1032639185576176&set=a.487427546764012&type=3","31,653","31,653","0","9,968","21,685","18,975","18,975","3,150","16,286","0","","5.29%","8.83%","1,676","332","243","","77","2","10","0","0","74","33","33","","","","0.52%","105","","1,132","1,237","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
